2026-04-22 01:45:25 configure libksba8:amd64 1.6.3-2 <none>
2026-04-22 01:45:25 status unpacked libksba8:amd64 1.6.3-2
2026-04-22 01:45:25 status half-configured libksba8:amd64 1.6.3-2
2026-04-22 01:45:25 status installed libksba8:amd64 1.6.3-2
2026-04-22 01:45:25 configure libkeyutils1:amd64 1.6.3-2 <none>
2026-04-22 01:45:25 status unpacked libkeyutils1:amd64 1.6.3-2
2026-04-22 01:45:25 status half-configured libkeyutils1:amd64 1.6.3-2
2026-04-22 01:45:25 status installed libkeyutils1:amd64 1.6.3-2
2026-04-22 01:45:25 configure libpsl5:amd64 0.21.2-1 <none>
2026-04-22 01:45:25 status unpacked libpsl5:amd64 0.21.2-1
2026-04-22 01:45:25 status half-configured libpsl5:amd64 0.21.2-1
2026-04-22 01:45:25 status installed libpsl5:amd64 0.21.2-1
2026-04-22 01:45:25 configure wget:amd64 1.21.3-1+deb12u1 <none>
2026-04-22 01:45:25 status unpacked wget:amd64 1.21.3-1+deb12u1
2026-04-22 01:45:25 status half-configured wget:amd64 1.21.3-1+deb12u1
2026-04-22 01:45:25 status installed wget:amd64 1.21.3-1+deb12u1
2026-04-22 01:45:25 configure libbrotli1:amd64 1.0.9-2+b6 <none>
2026-04-22 01:45:25 status unpacked libbrotli1:amd64 1.0.9-2+b6
2026-04-22 01:45:25 status half-configured libbrotli1:amd64 1.0.9-2+b6
2026-04-22 01:45:25 status installed libbrotli1:amd64 1.0.9-2+b6
2026-04-22 01:45:25 configure libsqlite3-0:amd64 3.40.1-2+deb12u2 <none>
2026-04-22 01:45:25 status unpacked libsqlite3-0:amd64 3.40.1-2+deb12u2
2026-04-22 01:45:25 status half-configured libsqlite3-0:amd64 3.40.1-2+deb12u2
2026-04-22 01:45:25 status installed libsqlite3-0:amd64 3.40.1-2+deb12u2
2026-04-22 01:45:25 configure libssl3:amd64 3.0.19-1~deb12u2 <none>
2026-04-22 01:45:25 status unpacked libssl3:amd64 3.0.19-1~deb12u2
2026-04-22 01:45:25 status half-configured libssl3:amd64 3.0.19-1~deb12u2
2026-04-22 01:45:25 status installed libssl3:amd64 3.0.19-1~deb12u2
2026-04-22 01:45:25 configure libnghttp2-14:amd64 1.52.0-1+deb12u2 <none>
2026-04-22 01:45:25 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u2
2026-04-22 01:45:25 status half-configured libnghttp2-14:amd64 1.52.0-1+deb12u2
2026-04-22 01:45:25 status installed libnghttp2-14:amd64 1.52.0-1+deb12u2
2026-04-22 01:45:25 configure libnpth0:amd64 1.6-3 <none>
2026-04-22 01:45:25 status unpacked libnpth0:amd64 1.6-3
2026-04-22 01:45:25 status half-configured libnpth0:amd64 1.6-3
2026-04-22 01:45:25 status installed libnpth0:amd64 1.6-3
2026-04-22 01:45:25 configure libassuan0:amd64 2.5.5-5 <none>
2026-04-22 01:45:25 status unpacked libassuan0:amd64 2.5.5-5
2026-04-22 01:45:25 status half-configured libassuan0:amd64 2.5.5-5
2026-04-22 01:45:25 status installed libassuan0:amd64 2.5.5-5
2026-04-22 01:45:25 configure libkrb5support0:amd64 1.20.1-2+deb12u4 <none>
2026-04-22 01:45:25 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 status installed libkrb5support0:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2026-04-22 01:45:25 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2026-04-22 01:45:25 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2026-04-22 01:45:25 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2026-04-22 01:45:25 configure gnupg-l10n:all 2.2.40-1.1+deb12u2 <none>
2026-04-22 01:45:25 status unpacked gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:25 status half-configured gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:25 status installed gnupg-l10n:all 2.2.40-1.1+deb12u2
2026-04-22 01:45:25 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2026-04-22 01:45:25 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2026-04-22 01:45:25 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2026-04-22 01:45:25 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2026-04-22 01:45:25 configure xz-utils:amd64 5.4.1-1 <none>
2026-04-22 01:45:25 status unpacked xz-utils:amd64 5.4.1-1
2026-04-22 01:45:25 status half-configured xz-utils:amd64 5.4.1-1
2026-04-22 01:45:25 status installed xz-utils:amd64 5.4.1-1
2026-04-22 01:45:25 configure libatomic1:amd64 12.2.0-14+deb12u1 <none>
2026-04-22 01:45:25 status unpacked libatomic1:amd64 12.2.0-14+deb12u1
2026-04-22 01:45:25 status half-configured libatomic1:amd64 12.2.0-14+deb12u1
2026-04-22 01:45:25 status installed libatomic1:amd64 12.2.0-14+deb12u1
2026-04-22 01:45:25 configure libncursesw6:amd64 6.4-4 <none>
2026-04-22 01:45:25 status unpacked libncursesw6:amd64 6.4-4
2026-04-22 01:45:25 status half-configured libncursesw6:amd64 6.4-4
2026-04-22 01:45:25 status installed libncursesw6:amd64 6.4-4
2026-04-22 01:45:25 configure libk5crypto3:amd64 1.20.1-2+deb12u4 <none>
2026-04-22 01:45:25 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 status installed libk5crypto3:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2026-04-22 01:45:25 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2026-04-22 01:45:25 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2026-04-22 01:45:25 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2026-04-22 01:45:25 configure libssh2-1:amd64 1.10.0-3+b1 <none>
2026-04-22 01:45:25 status unpacked libssh2-1:amd64 1.10.0-3+b1
2026-04-22 01:45:25 status half-configured libssh2-1:amd64 1.10.0-3+b1
2026-04-22 01:45:25 status installed libssh2-1:amd64 1.10.0-3+b1
2026-04-22 01:45:25 configure libkrb5-3:amd64 1.20.1-2+deb12u4 <none>
2026-04-22 01:45:25 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 status installed libkrb5-3:amd64 1.20.1-2+deb12u4
2026-04-22 01:45:25 configure openssl:amd64 3.0.19-1~deb12u2 <none>
2026-04-22 01:45:25 status unpacked openssl:amd64 3.0.19-1~deb12u2
2026-04-22 01:45:25 status half-configured openssl:amd64 3.0.19-1~deb12u2
2026-04-22 01:45:25 status installed openssl:amd64 3.0.19-1~deb12u2
2026-04-22 01:45:25 configure readline-common:all 8.2-1.3 <none>
2026-04-22 01:45:25 status unpacked readline-common:all 8.2-1.3
2026-04-22 01:45:25 status half-configured readline-common:all 8.2-1.3
2026-04-22 01:45:25 status installed readline-common:all 8.2-1.3
2026-04-22 01:45:25 configure pinentry-curses:amd64 1.2.1-1 <none>
2026-04-22 01:45:25 status unpacked pinentry-curses:amd64 1.2.1-1
2026-04-22 01:45:25 status half-configured pinentry-curses:amd64 1.2.1-1
2026-04-22 01:45:25 status installed pinentry-curses:amd64 1.2.1-1
2026-04-22 01:45:25 configure libreadline8:amd64 8.2-1.3 <none>
2026-04-22 01:45:25 status unpacked libreadline8:amd64 8.2-1.3
2026-04-22 01:45:25 status half-configured libreadline8:amd64 8.2-1.3
2026-04-22 01:45:25 status installed libreadline8:amd64 8.2-1.3
2026-04-22 01:45:25 configure libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2026-04-22 01:45:25 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2026-04-22 01:45:25 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2026-04-22 01:45:25 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2026-04-22 01:45:25 configure ca-certificates:all 20230311+deb12u1 <none>
2026-04-22 01:45:25 status unpacked ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:25 status half-configured ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:26 status installed ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:26 status triggers-pending ca-certificates:all 20230311+deb12u1
2026-04-22 01:45:26 configure libgssapi-krb5-2:amd64 1.20.1-2+deb12u4 <none>
2026-04-22 01:45:26 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u4
